name,company,year,Price,kms_driven,fuel_type
Scorpio S10,Mahindra,2015.0,395000,35000.0,Diesel
Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017.0,220000,30874.0,Petrol
City ZX CVT,Honda,2017.0,170000,15000.0,Diesel
Suzuki Wagon R LX BS IV,Maruti,2013.0,85000,29685.0,Petrol
Indigo eCS LS CR4 BS IV,Tata,2017.0,200000,130000.0,Diesel
Scorpio SLE BS IV,Mahindra,2012.0,570000,19000.0,Diesel
Polo Highline Exquisite P,Volkswagen,2014.0,315000,60000.0,Petrol
Spark LS 1.0,Chevrolet,2010.0,110000,41000.0,Petrol
Duster 110PS Diesel RxZ,Renault,2012.0,501000,35000.0,Diesel
City,Honda,2015.0,448999,54000.0,Petrol
Cooper S 1.6,Mini,2013.0,1891111,13000.0,Petrol
Fabia 1.2L Diesel Ambiente,Skoda,2011.0,159500,38200.0,Diesel
Amaze,Honda,2015.0,344999,22000.0,Petrol
Duster,Renault,2014.0,449999,50000.0,Diesel
Cooper S 1.6,Mini,2013.0,1891111,13500.0,Petrol
Scorpio S4,Mahindra,2015.0,865000,30000.0,Diesel
Scorpio VLX 2WD BS IV,Mahindra,2014.0,699000,50000.0,Diesel
Quanto C8,Mahindra,2013.0,375000,20000.0,Diesel
EcoSport,Ford,2017.0,489999,39000.0,Petrol
Brio,Honda,2012.0,224999,30000.0,Petrol
Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019.0,1200000,3600.0,Diesel
i20 Magna,Hyundai,2009.0,195000,32000.0,Petrol
Corolla Altis Diesel D4DG,Toyota,2010.0,351000,38000.0,Diesel
Verna Transform SX VTVT,Hyundai,2008.0,160000,45000.0,Petrol
Corolla Altis Petrol Ltd,Toyota,2009.0,240000,35000.0,Petrol
City 1.5 EXi New,Honda,2005.0,90000,50000.0,Petrol
Fabia 1.2L Diesel Elegance,Skoda,2011.0,155000,45863.0,Diesel
3 Series 320i,BMW,2011.0,600000,60500.0,Petrol
Suzuki A Star Lxi,Maruti,2011.0,189500,12500.0,Petrol
Etios GD,Toyota,2013.0,350000,60000.0,Diesel
Figo Diesel EXI Option,Ford,2012.0,210000,35000.0,Diesel
Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014.0,390000,35000.0,Petrol
Beat LT Diesel,Chevrolet,2012.0,135000,45000.0,Diesel
7 Series 740Li Sedan,BMW,2009.0,1600000,35000.0,Petrol
XUV500 W8 AWD 2013,Mahindra,2013.0,701000,38000.0,Diesel
i10 Magna 1.2,Hyundai,2014.0,265000,18000.0,Petrol
Verna Fluidic New,Hyundai,2015.0,525000,35000.0,Diesel
Suzuki Swift VXi 1.2 BS IV,Maruti,2013.0,372000,13349.0,Petrol
Suzuki Ertiga ZXI Plus,Maruti,2016.0,635000,29000.0,Petrol
EcoSport Titanium 1.5L TDCi,Ford,2014.0,550000,44000.0,Diesel
Suzuki Ertiga Vxi,Maruti,2016.0,575000,29000.0,Petrol
Suzuki Ertiga VDi,Maruti,2013.0,485000,42000.0,Diesel
Suzuki Alto LXi BS III,Maruti,2012.0,155000,14000.0,Petrol
Grand i10 Asta 1.1 CRDi,Hyundai,2014.0,345000,49000.0,Diesel
Amaze 1.2 S i VTEC,Honda,2014.0,325000,42000.0,Petrol
i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012.0,329500,36200.0,Diesel
Figo Diesel EXI,Ford,2014.0,195000,50000.0,Diesel
Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015.0,251111,55000.0,Petrol
Suzuki Ertiga ZXi,Maruti,2014.0,569999,45000.0,Petrol
Suzuki Esteem LXi BS III,Maruti,2007.0,69999,51000.0,Petrol
Suzuki Ritz VXI,Maruti,2014.0,299999,19000.0,Petrol
Suzuki Dzire,Maruti,2009.0,220000,46000.0,Petrol
Suzuki Ritz LDi,Maruti,2013.0,399999,33000.0,Diesel
Suzuki Dzire VDI,Maruti,2015.0,450000,104000.0,Diesel
Etios Liva G,Toyota,2014.0,270000,55000.0,Petrol
i20 Sportz 1.4 CRDI,Hyundai,2011.0,350000,33333.0,Diesel
Spark,Chevrolet,2012.0,158400,33600.0,Petrol
Suzuki Alto K10 VXi AMT,Maruti,2017.0,350000,5600.0,Petrol
Micra XV,Nissan,2011.0,179000,41000.0,Petrol
Suzuki Swift,Maruti,2007.0,125000,70000.0,Petrol
Suzuki Alto 800,Maruti,2018.0,200000,7500.0,Petrol
Amaze 1.5 S i DTEC,Honda,2013.0,299000,45000.0,Diesel
Suzuki Alto 800 Vxi,Maruti,2015.0,220000,38000.0,Petrol
Beat,Chevrolet,2015.0,150000,30000.0,Petrol
City 1.5 V MT,Honda,2010.0,285000,35000.0,Petrol
EcoSport Trend 1.5L TDCi,Ford,2016.0,830000,24330.0,Diesel
i20 Asta 1.2,Hyundai,2009.0,210000,65480.0,Petrol
Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013.0,340000,41000.0,Petrol
Indica V2 eLS,Tata,2006.0,90000,20000.0,Petrol
Motors Ambassador,Hindustan,2000.0,70000,200000.0,Diesel
Corolla Altis 1.8 GL,Toyota,2010.0,289999,70000.0,Petrol
Corolla Altis 1.8 J,Toyota,2012.0,349999,59000.0,Petrol
Innova 2.5 GX BS IV 7 STR,Toyota,2012.0,849999,99000.0,Diesel
Jetta Highline TDI AT,Volkswagen,2014.0,749999,46000.0,Diesel
Polo Comfortline 1.2L P,Volkswagen,2015.0,399999,2800.0,Petrol
Polo,Volkswagen,2014.0,274999,32000.0,Petrol
Scorpio,Mahindra,2015.0,984999,22000.0,Diesel
Sunny,Nissan,2012.0,224999,45000.0,Petrol
Elite i20,Hyundai,2018.0,599999,21000.0,Petrol
Kwid,Renault,2016.0,244999,11000.0,Petrol
Duster,Renault,2013.0,399999,41000.0,Diesel
Duster,Renault,2014.0,474999,50000.0,Diesel
Scorpio VLX Airbag,Mahindra,2011.0,499999,66000.0,Diesel
Suzuki Alto 800 Lxi,Maruti,2018.0,310000,3000.0,Petrol
Spark LT 1.0,Chevrolet,2010.0,85000,45000.0,Petrol
Redi GO T O,Datsun,2016.0,245000,7000.0,Petrol
Suzuki Swift RS VDI,Maruti,2010.0,189500,38500.0,Diesel
Punto Emotion 1.2,Fiat,2012.0,169500,37200.0,Diesel
Suzuki Swift RS VDI,Maruti,2010.0,159500,43200.0,Diesel
Etios GD,Toyota,2013.0,275000,24800.0,Petrol
i20 Sportz 1.4 CRDI,Hyundai,2014.0,370000,60000.0,Diesel
i10 Sportz 1.2,Hyundai,2010.0,168000,45872.0,Petrol
Beat LT Opt Diesel,Chevrolet,2011.0,150000,40000.0,Diesel
Beat LS Diesel,Chevrolet,2011.0,145000,45000.0,Diesel
Beat LT Diesel,Chevrolet,2012.0,98500,38000.0,Diesel
Indigo CS,Tata,2011.0,85000,11400.0,Diesel
Corolla Altis 1.8 J,Toyota,2015.0,575000,42000.0,Petrol
City 1.5 V MT,Honda,2014.0,549000,39000.0,Petrol
Suzuki Swift VDi,Maruti,2011.0,209000,47000.0,Diesel
Eon Era Plus,Hyundai,2013.0,185000,27000.0,Petrol
Scorpio S10,Mahindra,2015.0,900000,97200.0,Diesel
XUV500,Mahindra,2014.0,699999,52000.0,Diesel
Fiesta,Ford,2011.0,274999,55000.0,Diesel
City,Honda,2015.0,599999,30000.0,Diesel
Suzuki Wagon R,Maruti,2012.0,199999,44000.0,Petrol
City,Honda,2014.0,544999,45000.0,Diesel
i20,Hyundai,2009.0,199000,31000.0,Petrol
Indigo eCS LX TDI BS III,Tata,2016.0,320000,175430.0,Diesel
Fluidic Verna 1.6 CRDi SX,Hyundai,2015.0,540000,38000.0,Diesel
Quanto C8,Mahindra,2013.0,340000,37000.0,Diesel
Petra ELX 1.2 PS,Fiat,2008.0,75000,65000.0,Petrol
Suzuki Ciaz VXi Plus,Maruti,2016.0,700000,3350.0,Petrol
Suzuki Zen VX,Maruti,2000.0,55000,60000.0,Petrol
Creta 1.6 SX Plus Petrol,Hyundai,2017.0,895000,32000.0,Petrol
Scorpio SLX,Mahindra,2007.0,355000,75000.0,Diesel
Scorpio SLE BS IV,Mahindra,2012.0,565000,62000.0,Diesel
Innova 2.5 G BS III 8 STR,Toyota,2006.0,365000,73000.0,Diesel
Suzuki Alto K10 VXi AMT,Maruti,2011.0,145000,41000.0,Petrol
Suzuki Wagon R LXI BS IV,Maruti,2011.0,210000,35000.0,Petrol
Suzuki Alto Std BS IV,Maruti,2013.0,125000,39000.0,Petrol
Suzuki Wagon R LXi BS III,Maruti,2009.0,135000,45000.0,Petrol
Suzuki Swift VXI BSIII,Maruti,2006.0,135000,45000.0,Petrol
Sumo Victa EX 10 by 7 Str BSIII,Tata,2012.0,285000,65000.0,Diesel
Suzuki Wagon R LXi BS III,Maruti,2010.0,145000,54870.0,Petrol
Suzuki Alto LXi BS III,Maruti,2010.0,135000,34580.0,Petrol
Passat Diesel Comfortline AT,Volkswagen,2009.0,450000,97000.0,Diesel
Scala RxL Diesel Travelogue,Renault,2015.0,375000,25000.0,Diesel
Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014.0,365000,20000.0,Petrol
i20 Active 1.2 SX,Hyundai,2015.0,500000,18000.0,Petrol
Xylo E4,Mahindra,2012.0,400000,35000.0,Diesel
Jeep MM 550 XDB,Mahindra,2019.0,390000,60.0,Diesel
Bolero SLE BS IV,Mahindra,2013.0,330000,80200.0,Diesel
Motors  One LX ABS 7 STR,Force,2015.0,580000,3200.0,Diesel
Suzuki SX4,Maruti,2012.0,265000,46000.0,Diesel
Jeep CL550 MDI,Mahindra,2019.0,379000,0.0,Diesel
Suzuki Alto 800,Maruti,2015.0,219000,5000.0,Petrol
Jeep CL550 MDI,Mahindra,2018.0,385000,588.0,Diesel
Etios,Toyota,2011.0,275000,36000.0,Diesel
Polo,Volkswagen,2015.0,330000,38000.0,Diesel
City ZX VTEC,Honda,2008.0,110000,45000.0,Petrol
Suzuki Wagon R LX BS III,Maruti,2006.0,80000,71200.0,Petrol
City VX O MT Diesel,Honda,2016.0,519000,52000.0,Diesel
Thar CRDe 4x4 AC,Mahindra,2016.0,730000,29000.0,Diesel
A4 1.8 TFSI Multitronic Premium Plus,Audi,2009.0,699000,47000.0,Petrol
Benz GLA Class 200 CDI Sport,Mercedes,2015.0,2000000,20000.0,Diesel
Rover Freelander 2 SE,Land,2015.0,2100000,30000.0,Diesel
Kwid RXT,Renault,2017.0,340000,5000.0,Petrol
Aria Pleasure 4X2,Tata,2014.0,390000,35000.0,Diesel
Benz B Class B180 Sports,Mercedes,2014.0,1400000,31000.0,Petrol
GO T O,Datsun,2016.0,245000,7000.0,Petrol
Indigo eCS LX TDI BS III,Tata,2016.0,320000,175400.0,Diesel
Jazz VX MT,Honda,2016.0,450000,41000.0,Petrol
Amaze 1.2 S i VTEC,Honda,2014.0,311000,33000.0,Petrol
City,Honda,2012.0,399999,45000.0,Petrol
City,Honda,2015.0,599999,39000.0,Diesel
Scorpio S4,Mahindra,2015.0,855000,30000.0,Diesel
i20 Active 1.4L SX O,Hyundai,2015.0,535000,37000.0,Diesel
Cooper S,Mini,2013.0,1891111,13000.0,Petrol
Suzuki Ciaz ZXI Plus,Maruti,2017.0,699000,14000.0,Petrol
Tavera Neo,Chevrolet,2013.0,375000,55000.0,Diesel
Eon Sportz,Hyundai,2012.0,178000,30000.0,Petrol
Sumo Gold Select Variant,Tata,2013.0,300000,50000.0,Diesel
Suzuki Wagon R 1.0,Maruti,2003.0,90000,45000.0,Petrol
Suzuki Esteem VXi BS III,Maruti,2006.0,95000,45000.0,Petrol
Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015.0,255000,9300.0,Petrol
Enjoy 1.4 LS 8 STR,Chevrolet,2013.0,245000,55000.0,Diesel
Suzuki Wagon R 1.0 VXi,Maruti,2015.0,289999,22000.0,Petrol
Terrano XL D Plus,Nissan,2015.0,499999,60000.0,Diesel
Duster 85 PS RxE Diesel,Renault,2014.0,489999,59000.0,Diesel
Duster 85 PS RxL Diesel,Renault,2015.0,549999,19000.0,Diesel
Suzuki Dzire ZXI,Maruti,2013.0,380000,30000.0,Petrol
Kwid RXT Opt,Renault,2018.0,325000,15000.0,Petrol
Suzuki  800 Std,Maruti,2003.0,57000,56758.0,Petrol
Kwid 1.0 RXT AMT,Renault,2018.0,349999,10000.0,Petrol
Scala RxL Diesel,Renault,2014.0,349999,49000.0,Diesel
Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014.0,410000,41000.0,Petrol
Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011.0,225000,45000.0,Petrol
Beat LS Petrol,Chevrolet,2010.0,120000,43000.0,Petrol
Santro Xing XO eRLX Euro III,Hyundai,2000.0,59000,56450.0,Petrol
Beat LS Petrol,Chevrolet,2010.0,80000,56000.0,Petrol
Beat LS Petrol,Chevrolet,2015.0,220000,32700.0,Petrol
EcoSport Titanium 1.5L TDCi,Ford,2016.0,599000,30000.0,Diesel
Accent GLX,Hyundai,2006.0,80000,56000.0,Petrol
TUV300 T4 Plus,Mahindra,2016.0,675000,9000.0,Diesel
Indica V2 Xeta e GLE,Tata,2008.0,150000,11000.0,Petrol
Indigo CS LS DiCOR,Tata,2009.0,72500,46000.0,Diesel
Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019.0,610000,73.0,Petrol
Scorpio VLX Special Edition BS III,Mahindra,2004.0,230000,160000.0,Diesel
Accord,Honda,2009.0,175000,58559.0,Petrol
EcoSport Titanium 1.5 TDCi,Ford,2014.0,520000,57000.0,Diesel
Suzuki Ertiga,Maruti,2015.0,524999,50000.0,Diesel
Amaze,Honda,2014.0,299999,37000.0,Petrol
Suzuki Dzire,Maruti,2012.0,299999,40000.0,Petrol
City,Honda,2011.0,284999,55000.0,Petrol
Scorpio 2.6 CRDe,Mahindra,2007.0,220000,170000.0,Diesel
Suzuki Dzire,Maruti,2014.0,424999,55000.0,Diesel
City,Honda,2015.0,644999,39000.0,Petrol
Mobilio,Honda,2014.0,399999,44000.0,Petrol
Corolla Altis,Toyota,2009.0,199999,65000.0,Petrol
City,Honda,2014.0,584999,39000.0,Petrol
Laura,Skoda,2012.0,349999,44000.0,Diesel
Duster,Renault,2015.0,449999,49000.0,Diesel
Suzuki Ertiga,Maruti,2018.0,799999,9000.0,Diesel
Suzuki Dzire,Maruti,2015.0,444999,45000.0,Diesel
XUV500,Mahindra,2014.0,649999,47000.0,Diesel
Verna Fluidic,Hyundai,2012.0,444999,40000.0,Diesel
Suzuki Vitara Brezza,Maruti,2016.0,689999,29000.0,Diesel
Suzuki Wagon R,Maruti,2016.0,344999,15000.0,Petrol
Scorpio,Mahindra,2015.0,944999,45000.0,Diesel
Amaze,Honda,2014.0,274999,35000.0,Petrol
XUV500,Mahindra,2013.0,689999,80000.0,Diesel
Scorpio,Mahindra,2013.0,574999,68000.0,Diesel
Laura,Skoda,2013.0,374999,50000.0,Diesel
Polo,Volkswagen,2010.0,199999,60000.0,Diesel
Elite i20,Hyundai,2016.0,549999,9000.0,Petrol
Manza Aura Quadrajet,Tata,2012.0,130000,72000.0,Diesel
Sail UVA Petrol LT ABS,Chevrolet,2013.0,210000,60000.0,Petrol
Verna Fluidic 1.6 VTVT SX,Hyundai,2013.0,401000,45000.0,Diesel
A4 2.0 TDI 177bhp Premium,Audi,2012.0,1350000,40000.0,Diesel
Elantra SX,Hyundai,2013.0,600000,20000.0,Petrol
Scorpio VLX 4WD Airbag,Mahindra,2013.0,610000,35000.0,Diesel
KUV100 K8 D 6 STR,Mahindra,2016.0,400000,20000.0,Diesel
Grand i10,Hyundai,2017.0,524999,6821.0,Petrol
i20,Hyundai,2014.0,449999,23000.0,Petrol
Eon,Hyundai,2014.0,174999,14000.0,Petrol
i10,Hyundai,2012.0,244999,38000.0,Petrol
i20 Active,Hyundai,2015.0,574999,35000.0,Diesel
Redi GO,Datsun,2017.0,244999,22000.0,Petrol
Etios Liva,Toyota,2011.0,239999,41000.0,Petrol
Accent,Hyundai,2010.0,99999,45000.0,Petrol
Verna,Hyundai,2014.0,489999,44000.0,Diesel
Suzuki Swift,Maruti,2013.0,324999,45000.0,Diesel
Fortuner,Toyota,2011.0,1074999,52000.0,Diesel
i10 Sportz,Hyundai,2012.0,230000,34000.0,Petrol
Bolero Power Plus SLE,Mahindra,2018.0,699000,1800.0,Diesel
XUV500,Mahindra,2015.0,1000000,15000.0,Diesel
City 1.5 V MT Exclusive,Honda,2010.0,240000,400000.0,Petrol
Spark LT 1.0 Airbag,Chevrolet,2009.0,110000,44000.0,Petrol
XUV500,Mahindra,2016.0,1130000,72000.0,Diesel
Indigo eCS VX CR4 BS IV,Tata,2014.0,250000,40000.0,Diesel
Rapid Elegance 1.6 TDI CR MT,Skoda,2013.0,340000,48000.0,Diesel
Vista Quadrajet VX,Tata,2011.0,120000,90000.0,Diesel
Suzuki Alto K10 VXi AT,Maruti,2015.0,265000,12000.0,Petrol
Suzuki Zen LXi BS III,Maruti,2003.0,85000,69900.0,Petrol
i10 Magna 1.2,Hyundai,2011.0,175000,45000.0,Petrol
Suzuki Swift Dzire Tour LDi,Maruti,2016.0,350000,166000.0,Diesel
City ZX EXi,Honda,2008.0,149000,42000.0,Petrol
Jeep MM 550 XDB,Mahindra,2006.0,425000,122.0,Diesel
Beat Diesel,Chevrolet,2017.0,150000,62000.0,Diesel
City 1.5 S MT,Honda,2010.0,225000,70000.0,Petrol
Verna 1.4 VTVT,Hyundai,2014.0,375000,36000.0,Petrol
Innova 2.5 E MS 7 STR BS IV,Toyota,2012.0,770000,0.0,Diesel
Suzuki Swift,Maruti,2014.0,335000,55000.0,Diesel
Elite i20 Asta 1.4 CRDI,Hyundai,2015.0,450000,20000.0,Diesel
Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012.0,225000,40000.0,Petrol
Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004.0,80000,50000.0,Petrol
Indigo LX TDI BS III,Tata,2016.0,130000,104000.0,Diesel
Vento Konekt Diesel Highline,Volkswagen,2011.0,245000,65000.0,Diesel
Benz C Class 200 CDI Classic,Mercedes,2002.0,399000,41000.0,Petrol
Suzuki Ertiga VDi,Maruti,2013.0,450000,90000.0,Diesel
City,Honda,2000.0,65000,80000.0,Petrol
Santro Xing GLS,Hyundai,2006.0,75000,46000.0,Petrol
Suzuki Omni Limited Edition,Maruti,2001.0,70000,70000.0,Petrol
Sonata Transform 2.4 GDi MT,Hyundai,2017.0,190000,36469.0,Diesel
Elite i20 Sportz 1.2,Hyundai,2018.0,600000,7800.0,Petrol
Suzuki Alto 800 Lxi,Maruti,2017.0,240000,60000.0,Petrol
Suzuki Alto LXi BS III,Maruti,2011.0,155000,32000.0,Petrol
Jazz S MT,Honda,2009.0,169999,24695.0,Petrol
Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017.0,450000,15141.0,Petrol
Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012.0,165000,65000.0,Diesel
Suzuki Alto K10 VXi,Maruti,2014.0,270000,22000.0,Petrol
Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016.0,280000,59910.0,Diesel
XUV500 W8,Mahindra,2012.0,560000,100000.0,Diesel
Creta 1.6 SX Plus Petrol,Hyundai,2016.0,950000,25000.0,Petrol
i20 Magna O 1.2,Hyundai,2013.0,310000,35000.0,Petrol
Duster 85 PS RxL Explore LE,Renault,2015.0,715000,65000.0,Diesel
Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014.0,340000,35000.0,Petrol
Brio V MT,Honda,2012.0,235000,33000.0,Petrol
TUV300 T4 Plus,Mahindra,2017.0,610000,68000.0,Diesel
Spark LS 1.0,Chevrolet,2010.0,95000,23000.0,Petrol
TUV300 T8,Mahindra,2018.0,1000000,4500.0,Diesel
Suzuki Swift Dzire Tour LDi,Maruti,2015.0,220000,129000.0,Diesel
X Trail Select Variant,Nissan,2019.0,1200000,300.0,Diesel
Suzuki Alto 800 Vxi,Maruti,2015.0,230000,5000.0,Petrol
Fortuner 3.0 4x4 MT,Toyota,2010.0,940000,131000.0,Diesel
Manza ELAN Quadrajet,Tata,2010.0,155555,111111.0,Petrol
Benz A Class A 180 Sport Petrol,Mercedes,2013.0,1500000,14000.0,Petrol
Beat LS Diesel,Chevrolet,2016.0,210000,22000.0,Diesel
EcoSport Trend 1.5L TDCi,Ford,2013.0,495000,38000.0,Diesel
Indigo LS,Tata,2016.0,125000,70000.0,Diesel
i20 Magna 1.2,Hyundai,2010.0,195000,36000.0,Petrol
Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015.0,550000,34000.0,Diesel
Kwid RXT,Renault,2015.0,270000,43000.0,Petrol
EcoSport Titanium 1.5L TDCi,Ford,2014.0,500000,40000.0,Diesel
Amaze 1.5 E i DTEC,Honda,2016.0,240000,160000.0,Diesel
Verna 1.6 EX VTVT,Hyundai,2017.0,800000,12000.0,Petrol
5 Series 520d Sedan,BMW,2011.0,1299000,49000.0,Diesel
Superb 1.8 TFSI AT,Skoda,2011.0,530000,68000.0,Petrol
Q3 2.0 TDI quattro Premium,Audi,2013.0,1499000,37000.0,Diesel
Bolero DI BSII,Mahindra,2012.0,220000,59466.0,Diesel
Figo Duratorq Diesel Titanium 1.4,Ford,2012.0,250000,99000.0,Diesel
Suzuki Wagon R VXI BS IV,Maruti,2018.0,395000,25500.0,Petrol
Logan Diesel 1.5 DLS,Mahindra,2009.0,130000,66000.0,Petrol
TUV300 T4 Plus,Mahindra,2016.0,540000,35000.0,Diesel
Elite i20 Magna 1.2,Hyundai,2015.0,405000,28000.0,Petrol
Elite i20 Magna 1.2,Hyundai,2015.0,400000,30000.0,Petrol
City SV,Honda,2017.0,760000,4000.0,Petrol
Suzuki Baleno Delta 1.2,Maruti,2016.0,500000,28000.0,Petrol
Figo Petrol LXI,Ford,2011.0,175000,75000.0,Petrol
City,Honda,2017.0,750000,3000.0,Petrol
Elite i20 Magna 1.2,Hyundai,2015.0,419000,20000.0,Petrol
Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004.0,90000,50000.0,Petrol
Eon Era Plus,Hyundai,2018.0,140000,2110.0,Petrol
Pajero Sport Limited Edition,Mitsubishi,2015.0,1540000,43222.0,Petrol
i10 Magna 1.2 Kappa2,Hyundai,2008.0,275000,100200.0,Petrol
Corolla H2,Toyota,2003.0,150000,100000.0,Petrol
Suzuki Swift Dzire Tour VXi,Maruti,2011.0,230000,65.0,Petrol
Indigo CS eLS BS IV,Tata,2015.0,123000,100000.0,Diesel
Xcent Base 1.1 CRDi,Hyundai,2016.0,300000,140000.0,Diesel
Accent Executive Edition,Hyundai,2009.0,165000,48000.0,Petrol
Suzuki Baleno Delta 1.2,Maruti,2016.0,498000,22000.0,Petrol
Zest XE 75 PS Diesel,Tata,2018.0,480000,103553.0,Diesel
Suzuki Dzire LDI,Maruti,2017.0,488000,80000.0,Diesel
Sumo Gold LX BS IV,Tata,2014.0,250000,99000.0,Diesel
Corolla Altis GL Petrol,Toyota,2010.0,220000,58000.0,Petrol
Suzuki Eeco 7 STR,Maruti,2013.0,290000,70000.0,LPG
Fortuner 3.0 4x2 MT,Toyota,2015.0,1525000,120000.0,Diesel
XUV500 W6,Mahindra,2013.0,548900,49800.0,Diesel
Tigor Revotron XZ,Tata,2019.0,650000,100.0,Diesel
Suzuki 800,Maruti,2001.0,55000,81876.0,Petrol
Suzuki Ertiga Vxi,Maruti,2015.0,550000,75000.0,Petrol
Mobilio S i DTEC,Honda,2014.0,399000,44000.0,Diesel
Suzuki Ertiga,Maruti,2016.0,730000,55000.0,Diesel
Suzuki Vitara Brezza,Maruti,2017.0,725000,36000.0,Diesel
Verna 1.6 CRDI E,Hyundai,2016.0,195000,56000.0,Diesel
Suzuki Swift VXI BSIII,Maruti,2007.0,130000,62000.0,Petrol
Suzuki Omni Select Variant,Maruti,2014.0,190000,6020.0,Petrol
Amaze,Honda,2013.0,250000,55700.0,Diesel
Indica,Tata,2005.0,80000,42000.0,Petrol
Santro Xing,Hyundai,2003.0,120000,50000.0,Petrol
Suzuki Zen Estilo,Maruti,2010.0,149000,35000.0,Petrol
Suzuki Wagon R LXI BS IV,Maruti,2014.0,250000,18500.0,Petrol
Suzuki Wagon R,Maruti,2007.0,120000,7000.0,Petrol
Brio VX AT,Honda,2017.0,450000,11000.0,Petrol
Suzuki Zen LXi BSII,Maruti,2003.0,99999,53000.0,Petrol
Suzuki Zen Estilo LXI Green CNG,Maruti,2008.0,135000,23000.0,Petrol
Suzuki Wagon R Select Variant,Maruti,2016.0,225000,35500.0,Diesel
Suzuki Alto LXi BS III,Maruti,2010.0,99000,22134.0,Petrol
